EmpId,Date,Present,IsManual,InTime,OutTime,InDiff,OutDiff,IsLate,EarlyDeparture,MachineNo,IPAddress
E0001,1/1/2025,TRUE,FALSE,10:30:46,19:36:12,0.77,-23.8,TRUE,TRUE,M01,192.168.1.10
E0002,1/1/2025,TRUE,FALSE,10:41:24,20:08:55,11.4,8.92,TRUE,FALSE,M02,192.168.1.15
E0003,1/1/2025,FALSE,,,,,,,,,
E0004,1/1/2025,TRUE,FALSE,10:32:47,19:47:10,2.78,-12.83,TRUE,TRUE,M03,192.168.1.20
E0005,1/1/2025,TRUE,FALSE,10:30:47,19:42:42,0.78,-17.3,TRUE,TRUE,M03,192.168.1.20
E0006,1/1/2025,TRUE,FALSE,10:43:49,20:20:40,13.82,20.67,TRUE,FALSE,M01,192.168.1.10
E0007,1/1/2025,TRUE,FALSE,10:29:14,19:48:08,-0.77,-11.87,FALSE,TRUE,M01,192.168.1.10
E0008,1/1/2025,TRUE,TRUE,10:30:00,20:00:00,0,0,FALSE,FALSE,M01,192.168.1.10
E0009,1/1/2025,TRUE,FALSE,10:22:21,,-7.65,,FALSE,,M02,192.168.1.15
E0010,1/1/2025,TRUE,FALSE,10:11:51,16:42:40,-18.15,-197.33,FALSE,TRUE,M03,192.168.1.20
E0011,1/1/2025,TRUE,FALSE,10:34:13,19:59:06,4.22,-0.9,TRUE,TRUE,M02,192.168.1.15
E0012,1/1/2025,TRUE,FALSE,10:37:12,19:34:10,7.2,-25.83,TRUE,TRUE,M01,192.168.1.10
E0013,1/1/2025,TRUE,FALSE,10:26:09,19:45:45,-3.85,-14.25,FALSE,TRUE,M01,192.168.1.10
E0014,1/1/2025,TRUE,FALSE,10:42:39,20:13:37,12.65,13.62,TRUE,FALSE,M02,192.168.1.15
E0015,1/1/2025,TRUE,FALSE,10:35:40,20:00:32,5.67,0.53,TRUE,FALSE,M02,192.168.1.15
E0016,1/1/2025,TRUE,FALSE,10:29:03,19:56:37,-0.95,-3.38,FALSE,TRUE,M02,192.168.1.15
E0017,1/1/2025,TRUE,FALSE,10:15:37,20:03:57,-14.38,3.95,FALSE,FALSE,M01,192.168.1.10
E0018,1/1/2025,TRUE,FALSE,10:34:40,19:38:28,4.67,-21.53,TRUE,TRUE,M03,192.168.1.20
E0019,1/1/2025,TRUE,FALSE,10:35:26,19:56:04,5.43,-3.93,TRUE,TRUE,M02,192.168.1.15
E0020,1/1/2025,TRUE,FALSE,10:28:41,19:41:57,-1.32,-18.05,FALSE,TRUE,M03,192.168.1.20
E0021,1/1/2025,TRUE,FALSE,10:47:14,20:14:44,17.23,14.73,TRUE,FALSE,M01,192.168.1.10
E0022,1/1/2025,TRUE,FALSE,10:27:43,20:10:00,-2.28,10,FALSE,FALSE,M03,192.168.1.20
E0023,1/1/2025,TRUE,FALSE,10:20:10,19:59:28,-9.83,-0.53,FALSE,TRUE,M01,192.168.1.10
E0024,1/1/2025,TRUE,FALSE,10:24:28,19:42:51,-5.53,-17.15,FALSE,TRUE,M03,192.168.1.20
E0025,1/1/2025,TRUE,FALSE,10:38:03,19:52:23,8.05,-7.62,TRUE,TRUE,M02,192.168.1.15
E0026,1/1/2025,TRUE,FALSE,10:25:13,20:02:46,-4.78,2.77,FALSE,FALSE,M02,192.168.1.15
E0027,1/1/2025,TRUE,FALSE,10:26:08,19:35:31,-3.87,-24.48,FALSE,TRUE,M03,192.168.1.20
E0028,1/1/2025,TRUE,FALSE,10:19:56,20:12:05,-10.07,12.08,FALSE,FALSE,M03,192.168.1.20
E0029,1/1/2025,TRUE,FALSE,10:38:03,20:11:39,8.05,11.65,TRUE,FALSE,M01,192.168.1.10
E0030,1/1/2025,TRUE,FALSE,10:17:35,20:05:22,-12.42,5.37,FALSE,FALSE,M01,192.168.1.10
E0031,1/1/2025,TRUE,FALSE,10:31:05,19:52:04,1.08,-7.93,TRUE,TRUE,M02,192.168.1.15
E0032,1/1/2025,TRUE,FALSE,10:15:46,20:08:58,-14.23,8.97,FALSE,FALSE,M03,192.168.1.20
E0033,1/1/2025,TRUE,FALSE,10:33:05,19:45:13,3.08,-14.78,TRUE,TRUE,M01,192.168.1.10
E0034,1/1/2025,TRUE,FALSE,10:43:41,20:01:35,13.68,1.58,TRUE,FALSE,M03,192.168.1.20
E0035,1/1/2025,TRUE,FALSE,10:33:17,,3.28,,TRUE,,M02,192.168.1.15
E0036,1/1/2025,TRUE,FALSE,10:38:02,20:22:46,8.03,22.77,TRUE,FALSE,M01,192.168.1.10
E0037,1/1/2025,TRUE,FALSE,10:42:36,20:13:05,12.6,13.08,TRUE,FALSE,M03,192.168.1.20
E0038,1/1/2025,TRUE,FALSE,10:28:52,19:34:25,-1.13,-25.58,FALSE,TRUE,M03,192.168.1.20
E0039,1/1/2025,TRUE,FALSE,10:34:55,19:33:54,4.92,-26.1,TRUE,TRUE,M01,192.168.1.10
E0040,1/1/2025,TRUE,FALSE,10:44:05,20:16:00,14.08,16,TRUE,FALSE,M01,192.168.1.10
E0041,1/1/2025,TRUE,FALSE,10:29:24,19:47:09,-0.6,-12.85,FALSE,TRUE,M02,192.168.1.15
E0042,1/1/2025,TRUE,FALSE,10:28:23,20:05:56,-1.62,5.93,FALSE,FALSE,M01,192.168.1.10
E0043,1/1/2025,TRUE,FALSE,10:31:44,20:00:55,1.73,0.92,TRUE,FALSE,M01,192.168.1.10
E0044,1/1/2025,TRUE,FALSE,10:10:27,20:06:28,-19.55,6.47,FALSE,FALSE,M01,192.168.1.10
E0045,1/1/2025,TRUE,FALSE,10:24:17,19:36:32,-5.72,-23.47,FALSE,TRUE,M03,192.168.1.20
E0046,1/1/2025,TRUE,FALSE,10:41:56,20:09:13,11.93,9.22,TRUE,FALSE,M01,192.168.1.10
E0047,1/1/2025,TRUE,FALSE,10:36:06,19:42:17,6.1,-17.72,TRUE,TRUE,M01,192.168.1.10
E0048,1/1/2025,TRUE,FALSE,10:22:10,20:00:33,-7.83,0.55,FALSE,FALSE,M02,192.168.1.15
E0049,1/1/2025,TRUE,FALSE,10:34:34,20:13:34,4.57,13.57,TRUE,FALSE,M01,192.168.1.10
E0050,1/1/2025,TRUE,FALSE,10:27:26,19:52:02,-2.57,-7.97,FALSE,TRUE,M01,192.168.1.10
E0051,1/1/2025,TRUE,FALSE,10:32:15,19:52:16,2.25,-7.73,TRUE,TRUE,M02,192.168.1.15
E0052,1/1/2025,FALSE,,,,,,,,,
E0053,1/1/2025,TRUE,FALSE,10:31:45,19:56:04,1.75,-3.93,TRUE,TRUE,M01,192.168.1.10
E0054,1/1/2025,TRUE,FALSE,10:36:30,19:59:10,6.5,-0.83,TRUE,TRUE,M01,192.168.1.10
E0055,1/1/2025,TRUE,FALSE,10:23:02,19:33:16,-6.97,-26.73,FALSE,TRUE,M03,192.168.1.20
E0056,1/1/2025,TRUE,FALSE,10:20:45,20:10:16,-9.25,10.27,FALSE,FALSE,M02,192.168.1.15
E0057,1/1/2025,TRUE,FALSE,10:40:44,20:11:07,10.73,11.12,TRUE,FALSE,M01,192.168.1.10
E0058,1/1/2025,TRUE,FALSE,10:31:42,20:05:09,1.7,5.15,TRUE,FALSE,M03,192.168.1.20
E0059,1/1/2025,TRUE,FALSE,10:31:29,19:46:53,1.48,-13.12,TRUE,TRUE,M02,192.168.1.15
E0060,1/1/2025,TRUE,FALSE,10:37:46,20:26:06,7.77,26.1,TRUE,FALSE,M01,192.168.1.10
E0061,1/1/2025,TRUE,FALSE,10:24:59,19:45:03,-5.02,-14.95,FALSE,TRUE,M03,192.168.1.20
E0062,1/1/2025,TRUE,FALSE,10:29:22,19:58:36,-0.63,-1.4,FALSE,TRUE,M03,192.168.1.20
E0063,1/1/2025,TRUE,FALSE,10:17:34,20:04:50,-12.43,4.83,FALSE,FALSE,M01,192.168.1.10
E0064,1/1/2025,TRUE,FALSE,10:28:39,19:55:11,-1.35,-4.82,FALSE,TRUE,M01,192.168.1.10
E0065,1/1/2025,TRUE,FALSE,10:20:21,20:13:00,-9.65,13,FALSE,FALSE,M02,192.168.1.15
E0066,1/1/2025,TRUE,FALSE,10:49:31,20:04:31,19.52,4.52,TRUE,FALSE,M01,192.168.1.10
E0067,1/1/2025,TRUE,FALSE,10:23:19,19:52:58,-6.68,-7.03,FALSE,TRUE,M03,192.168.1.20
E0068,1/1/2025,TRUE,FALSE,10:39:53,20:15:13,9.88,15.22,TRUE,FALSE,M03,192.168.1.20
E0069,1/1/2025,TRUE,FALSE,10:28:06,20:09:30,-1.9,9.5,FALSE,FALSE,M01,192.168.1.10
E0070,1/1/2025,TRUE,FALSE,10:44:29,20:05:41,14.48,5.68,TRUE,FALSE,M03,192.168.1.20
E0071,1/1/2025,TRUE,FALSE,10:17:51,20:05:24,-12.15,5.4,FALSE,FALSE,M03,192.168.1.20
E0072,1/1/2025,TRUE,FALSE,10:41:07,20:16:38,11.12,16.63,TRUE,FALSE,M02,192.168.1.15
E0073,1/1/2025,TRUE,FALSE,10:27:13,20:06:43,-2.78,6.72,FALSE,FALSE,M02,192.168.1.15
E0074,1/1/2025,TRUE,FALSE,10:33:19,19:55:33,3.32,-4.45,TRUE,TRUE,M02,192.168.1.15
E0075,1/1/2025,TRUE,FALSE,10:31:13,19:44:01,1.22,-15.98,TRUE,TRUE,M01,192.168.1.10
E0076,1/1/2025,TRUE,FALSE,10:31:30,19:46:42,1.5,-13.3,TRUE,TRUE,M01,192.168.1.10
E0077,1/1/2025,TRUE,FALSE,10:43:57,20:24:07,13.95,24.12,TRUE,FALSE,M01,192.168.1.10
E0078,1/1/2025,TRUE,FALSE,10:34:51,19:48:38,4.85,-11.37,TRUE,TRUE,M02,192.168.1.15
E0079,1/1/2025,TRUE,FALSE,10:35:34,20:01:14,5.57,1.23,TRUE,FALSE,M02,192.168.1.15
E0080,1/1/2025,TRUE,FALSE,10:30:37,20:23:51,0.62,23.85,TRUE,FALSE,M01,192.168.1.10
E0081,1/1/2025,TRUE,FALSE,10:34:26,19:57:17,4.43,-2.72,TRUE,TRUE,M02,192.168.1.15
E0082,1/1/2025,TRUE,FALSE,10:28:20,19:41:39,-1.67,-18.35,FALSE,TRUE,M03,192.168.1.20
E0083,1/1/2025,TRUE,FALSE,10:29:07,19:37:19,-0.88,-22.68,FALSE,TRUE,M03,192.168.1.20
E0084,1/1/2025,TRUE,FALSE,10:17:08,20:02:57,-12.87,2.95,FALSE,FALSE,M02,192.168.1.15
E0085,1/1/2025,TRUE,FALSE,10:19:49,20:03:58,-10.18,3.97,FALSE,FALSE,M02,192.168.1.15
E0086,1/1/2025,TRUE,FALSE,10:18:59,19:58:16,-11.02,-1.73,FALSE,TRUE,M03,192.168.1.20
E0087,1/1/2025,TRUE,FALSE,10:29:01,19:42:25,-0.98,-17.58,FALSE,TRUE,M01,192.168.1.10
E0088,1/1/2025,TRUE,FALSE,10:38:09,20:06:16,8.15,6.27,TRUE,FALSE,M02,192.168.1.15
E0089,1/1/2025,TRUE,FALSE,10:32:00,20:08:01,2,8.02,TRUE,FALSE,M01,192.168.1.10
E0090,1/1/2025,TRUE,FALSE,10:34:20,20:10:37,4.33,10.62,TRUE,FALSE,M01,192.168.1.10
E0091,1/1/2025,TRUE,FALSE,10:16:44,20:11:32,-13.27,11.53,FALSE,FALSE,M01,192.168.1.10
E0092,1/1/2025,TRUE,FALSE,10:33:13,19:37:58,3.22,-22.03,TRUE,TRUE,M03,192.168.1.20
E0093,1/1/2025,TRUE,FALSE,10:37:10,20:15:47,7.17,15.78,TRUE,FALSE,M01,192.168.1.10
E0094,1/1/2025,TRUE,FALSE,10:22:09,18:21:20,-7.85,-98.67,FALSE,TRUE,M02,192.168.1.15
E0095,1/1/2025,TRUE,FALSE,10:17:37,20:07:52,-12.38,7.87,FALSE,FALSE,M03,192.168.1.20
E0096,1/1/2025,TRUE,FALSE,10:30:19,19:39:42,0.32,-20.3,TRUE,TRUE,M03,192.168.1.20
E0097,1/1/2025,TRUE,FALSE,10:37:49,19:32:32,7.82,-27.47,TRUE,TRUE,M03,192.168.1.20
E0098,1/1/2025,TRUE,FALSE,10:32:57,20:07:42,2.95,7.7,TRUE,FALSE,M01,192.168.1.10
E0099,1/1/2025,TRUE,FALSE,10:31:31,16:20:58,1.52,-219.03,TRUE,TRUE,M03,192.168.1.20
E0100,1/1/2025,TRUE,FALSE,10:31:26,19:42:35,1.43,-17.42,TRUE,TRUE,M02,192.168.1.15
E0001,1/2/2025,FALSE,,,,,,,,,
E0002,1/2/2025,TRUE,FALSE,10:33:24,19:48:44,3.4,-11.27,TRUE,TRUE,M02,192.168.1.15
E0003,1/2/2025,TRUE,FALSE,10:43:48,20:19:14,13.8,19.23,TRUE,FALSE,M02,192.168.1.15
E0004,1/2/2025,FALSE,,,,,,,,,
E0005,1/2/2025,TRUE,FALSE,10:23:31,19:41:44,-6.48,-18.27,FALSE,TRUE,M03,192.168.1.20
E0006,1/2/2025,TRUE,FALSE,10:24:08,19:50:16,-5.87,-9.73,FALSE,TRUE,M01,192.168.1.10
E0007,1/2/2025,TRUE,FALSE,10:27:03,19:34:57,-2.95,-25.05,FALSE,TRUE,M01,192.168.1.10
E0008,1/2/2025,FALSE,,,,,,,,,
E0009,1/2/2025,TRUE,FALSE,10:22:29,17:26:12,-7.52,-153.8,FALSE,TRUE,M02,192.168.1.15
E0010,1/2/2025,TRUE,FALSE,10:22:50,20:07:27,-7.17,7.45,FALSE,FALSE,M03,192.168.1.20
E0011,1/2/2025,TRUE,FALSE,10:19:54,20:04:47,-10.1,4.78,FALSE,FALSE,M02,192.168.1.15
E0012,1/2/2025,TRUE,FALSE,10:33:25,19:55:05,3.42,-4.92,TRUE,TRUE,M01,192.168.1.10
E0013,1/2/2025,TRUE,FALSE,10:40:20,19:52:14,10.33,-7.77,TRUE,TRUE,M01,192.168.1.10
E0014,1/2/2025,TRUE,FALSE,10:41:52,20:13:52,11.87,13.87,TRUE,FALSE,M02,192.168.1.15
E0015,1/2/2025,TRUE,FALSE,10:25:11,19:39:26,-4.82,-20.57,FALSE,TRUE,M02,192.168.1.15
E0016,1/2/2025,TRUE,FALSE,10:48:16,20:15:50,18.27,15.83,TRUE,FALSE,M02,192.168.1.15
E0017,1/2/2025,TRUE,FALSE,10:33:30,19:52:31,3.5,-7.48,TRUE,TRUE,M01,192.168.1.10
E0018,1/2/2025,TRUE,FALSE,10:32:22,19:56:25,2.37,-3.58,TRUE,TRUE,M03,192.168.1.20
E0019,1/2/2025,TRUE,FALSE,10:25:32,19:35:51,-4.47,-24.15,FALSE,TRUE,M02,192.168.1.15
E0020,1/2/2025,TRUE,FALSE,10:21:57,20:03:21,-8.05,3.35,FALSE,FALSE,M03,192.168.1.20
E0021,1/2/2025,TRUE,FALSE,10:25:09,19:35:16,-4.85,-24.73,FALSE,TRUE,M01,192.168.1.10
E0022,1/2/2025,TRUE,FALSE,10:31:44,19:46:09,1.73,-13.85,TRUE,TRUE,M03,192.168.1.20
E0023,1/2/2025,TRUE,FALSE,10:23:16,,-6.73,,FALSE,,M01,192.168.1.10
E0024,1/2/2025,TRUE,FALSE,10:37:07,20:18:22,7.12,18.37,TRUE,FALSE,M03,192.168.1.20
E0025,1/2/2025,TRUE,FALSE,10:36:11,20:03:48,6.18,3.8,TRUE,FALSE,M02,192.168.1.15
E0026,1/2/2025,TRUE,FALSE,10:34:14,,4.23,,TRUE,,M02,192.168.1.15
E0027,1/2/2025,TRUE,FALSE,10:25:47,20:07:46,-4.22,7.77,FALSE,FALSE,M03,192.168.1.20
E0028,1/2/2025,TRUE,FALSE,10:34:53,20:08:07,4.88,8.12,TRUE,FALSE,M03,192.168.1.20
E0029,1/2/2025,TRUE,FALSE,10:34:54,19:42:29,4.9,-17.52,TRUE,TRUE,M01,192.168.1.10
E0030,1/2/2025,TRUE,FALSE,10:31:36,19:47:49,1.6,-12.18,TRUE,TRUE,M01,192.168.1.10
E0031,1/2/2025,TRUE,FALSE,10:45:47,20:22:04,15.78,22.07,TRUE,FALSE,M02,192.168.1.15
E0032,1/2/2025,TRUE,FALSE,10:24:32,19:54:29,-5.47,-5.52,FALSE,TRUE,M03,192.168.1.20
E0033,1/2/2025,TRUE,FALSE,10:34:04,20:00:39,4.07,0.65,TRUE,FALSE,M01,192.168.1.10
E0034,1/2/2025,TRUE,FALSE,10:32:27,20:25:37,2.45,25.62,TRUE,FALSE,M03,192.168.1.20
E0035,1/2/2025,TRUE,FALSE,10:38:40,19:46:19,8.67,-13.68,TRUE,TRUE,M02,192.168.1.15
E0036,1/2/2025,TRUE,FALSE,10:28:20,19:42:05,-1.67,-17.92,FALSE,TRUE,M01,192.168.1.10
E0037,1/2/2025,TRUE,FALSE,10:30:23,19:40:15,0.38,-19.75,TRUE,TRUE,M03,192.168.1.20
E0038,1/2/2025,TRUE,FALSE,10:38:56,20:12:15,8.93,12.25,TRUE,FALSE,M03,192.168.1.20
E0039,1/2/2025,TRUE,FALSE,10:34:53,19:51:04,4.88,-8.93,TRUE,TRUE,M01,192.168.1.10
E0040,1/2/2025,TRUE,FALSE,13:51:38,23:00:59,201.63,180.98,TRUE,FALSE,M01,192.168.1.10
E0041,1/2/2025,TRUE,FALSE,10:44:12,20:11:13,14.2,11.22,TRUE,FALSE,M02,192.168.1.15
E0042,1/2/2025,TRUE,FALSE,10:41:06,20:31:42,11.1,31.7,TRUE,FALSE,M01,192.168.1.10
E0043,1/2/2025,TRUE,FALSE,10:55:24,20:16:14,25.4,16.23,TRUE,FALSE,M03,192.168.1.20
E0044,1/2/2025,TRUE,FALSE,10:37:36,20:13:54,7.6,13.9,TRUE,FALSE,M01,192.168.1.10
E0045,1/2/2025,TRUE,FALSE,10:41:10,20:14:44,11.17,14.73,TRUE,FALSE,M03,192.168.1.20
E0046,1/2/2025,TRUE,FALSE,10:18:35,20:06:38,-11.42,6.63,FALSE,FALSE,M01,192.168.1.10
E0047,1/2/2025,TRUE,FALSE,10:29:32,19:27:39,-0.47,-32.35,FALSE,TRUE,M01,192.168.1.10
E0048,1/2/2025,TRUE,FALSE,10:21:48,20:05:39,-8.2,5.65,FALSE,FALSE,M02,192.168.1.15
E0049,1/2/2025,TRUE,FALSE,10:37:45,20:23:25,7.75,23.42,TRUE,FALSE,M01,192.168.1.10
E0050,1/2/2025,FALSE,,,,,,,,,
E0051,1/2/2025,TRUE,FALSE,10:14:20,19:55:28,-15.67,-4.53,FALSE,TRUE,M02,192.168.1.15
E0052,1/2/2025,TRUE,FALSE,10:37:26,19:45:13,7.43,-14.78,TRUE,TRUE,M01,192.168.1.10
E0053,1/2/2025,TRUE,FALSE,10:34:41,19:55:26,4.68,-4.57,TRUE,TRUE,M01,192.168.1.10
E0054,1/2/2025,TRUE,FALSE,10:27:22,19:30:49,-2.63,-29.18,FALSE,TRUE,M01,192.168.1.10
E0055,1/2/2025,TRUE,FALSE,10:27:54,20:05:59,-2.1,5.98,FALSE,FALSE,M04_HQ,10.0.0.5
E0056,1/2/2025,TRUE,FALSE,10:28:54,,-1.1,,FALSE,,M02,192.168.1.15
E0057,1/2/2025,TRUE,FALSE,10:33:47,19:46:13,3.78,-13.78,TRUE,TRUE,M01,192.168.1.10
E0058,1/2/2025,TRUE,FALSE,10:28:49,19:43:07,-1.18,-16.88,FALSE,TRUE,M03,192.168.1.20
E0059,1/2/2025,TRUE,FALSE,10:17:57,20:07:42,-12.05,7.7,FALSE,FALSE,M02,192.168.1.15
E0060,1/2/2025,TRUE,FALSE,10:35:12,20:00:14,5.2,0.23,TRUE,FALSE,M01,192.168.1.10
E0061,1/2/2025,TRUE,FALSE,10:25:00,19:38:19,-5,-21.68,FALSE,TRUE,M03,192.168.1.20
E0062,1/2/2025,TRUE,FALSE,10:45:04,20:23:21,15.07,23.35,TRUE,FALSE,M03,192.168.1.20
E0063,1/2/2025,TRUE,FALSE,10:33:58,20:01:15,3.97,1.25,TRUE,FALSE,M01,192.168.1.10
E0064,1/2/2025,TRUE,FALSE,10:24:46,20:02:12,-5.23,2.2,FALSE,FALSE,M01,192.168.1.10
E0065,1/2/2025,TRUE,FALSE,10:28:42,19:28:11,-1.3,-31.82,FALSE,TRUE,M02,192.168.1.15
E0066,1/2/2025,TRUE,FALSE,10:48:45,,18.75,,TRUE,,M01,192.168.1.10
E0067,1/2/2025,TRUE,FALSE,10:43:01,20:13:43,13.02,13.72,TRUE,FALSE,M03,192.168.1.20
E0068,1/2/2025,TRUE,FALSE,10:22:06,19:38:45,-7.9,-21.25,FALSE,TRUE,M03,192.168.1.20
